Matricula,Razon_Soc,Direccion,Localidad,Partido_Depto,PROVINCIA,CodPost,EMail,Telefono,CUIT,FechaInsc,Actividad
201,EL PROGRESO COOP AGRICOLA GANADERA Y DE CONSUMO LTDA,LEANDRO N. ALEM N° 356,BERNASCONI,HUCAL,LA PAMPA,L8204,,,,10/01/1931,AGROPECUARIA - AGROINDUSTRIAL
205,COOP AGRICOLA MIXTA DE MONTE CARLO LTDA,AV. LIBERTADOR N° 2713,MONTECARLO,MONTECARLO,MISIONES,N3384,info@aguantadora.com,(03751)480053/035/373,30-52884474-6,19/02/1931,AGROPECUARIA
206,COOP AGRICOLA LTDA DE OBERA,AV. SARMIENTO N° 1055,OBERA,OBERA,MISIONES,N3361AAH,caloober@arnet.com.ar,(03755) 421-097/401-097,30-50183832-9,23/01/1931,AGROPECUARIA
207,COOP LTDA DE TAMBEROS DE SUNCHALES,HIPOLITO IRIGOYEN N° 728,SUNCHALES,CASTELLANOS,SANTA FE,S2322,,03493-421988/421974,30-50220605-9,27/02/1931,AGROPECUARIA
225,COOP AGRICOLA TAMBERA DE JAMES CRAIK LTDA,BV. SAN MARTIN N° 301,JAMES CRAIK,TERCERO ARRIBA,CORDOBA,X5984,,0535-97132,30-50122192-5,03/07/1931,AGROPECUARIA
229,COOP AGROPECUARIA LAS BREÑAS LTDA.,SAN MARTIN N° 1208,LAS BREÑAS,9 DE JULIO (CHA),CHACO,H3722,administracioncoop@vivecom.com.ar,03731-460231,30-50227286-8,24/07/1931,AGROPECUARIA
241,GRANEROS Y ELEVADORES ARGENTINOS DE ARIAS COOP AGROPECUARIA Y DE CONSUMO LTDA.,AV. SARMIENTO N° 1245,ARIAS,MARCOS JUAREZ,CORDOBA,X2624BRK,geaarias@canals.dataco21.com.ar,03468-440424/440167,30-51163891-3,16/09/1931,AGROPECUARIA
253,COOP VITIVINICOLA LA PICASA LTDA,Sin datos calle,GENERAL ROCA (15),GENERAL ROCA (RN),RIO NEGRO,R8332,,,,02/10/1931,AGROPECUARIA
254,COOP FARMACEUTICA CORDOBA LTDA,SANTA ROSA N° 1874,CORDOBA,CAPITAL (CBA),CORDOBA,X5000,,,,03/10/1931,DE PROVISION
256,COOP DE SERVICIOS PUBLICOS ALMAFUERTE LTDA,AV. BUENOS AIRES N° 402,ALMAFUERTE,TERCERO ARRIBA,CORDOBA,X5854AIR,coopal@dat13.com.ar,03571-471019/471599,30-54569702-1,06/10/1931,SERVICIOS PUBLICOS
260,COOP LTDA DE TAMBEROS DE COLONIA RAQUEL,ZONA URBANA,RAQUEL,CASTELLANOS,SANTA FE,S2322XAB,,0493/96005,30-61995165-0,10/10/1931,AGROPECUARIA
276,COOP LTDA DE CONSUMO DE ELECTRICIDAD Y SERVICIOS ANEXOS DE OLAVARRIA,BELGRANO N° 2850,OLAVARRIA,OLAVARRIA,BUENOS AIRES,B7400,info@coopelectric.com.ar,02284-441666/999,30-54569139-2,30/12/1931,SERVICIOS PUBLICOS
277,COOP DE OBRAS Y SERVICIOS PUBLICOS DE CANALS LTDA,SARMIENTO N° 311,CANALS,UNION,CORDOBA,X2650,,2041,30-54572016-3,31/12/1931,SERVICIOS PUBLICOS
279,"CELTA COOP DE OBRAS, SERVICIOS PUBLICOS Y SERVICIOS SOCIALES LTDA DE TRES ARROYOS",SARMIENTO N° 411,TRES ARROYOS,TRES ARROYOS,BUENOS AIRES,B7500,celta@celta.com.ar,02983-427024/426392,30-54569092-2,14/01/1932,SERVICIOS PUBLICOS
292,COOP DE PROVISION DE TRANSPORTES Y CARNE LTDA,Sin datos calle,C. Autonoma de Bs As,,CAPITAL FEDERAL,C0,,,33-52772593-9,22/03/1932,DE PROVISION
302,COOP AGRICOLA DE PUERTO RICO LTDA.,RUTA NAC. 12 -KM. 1468 B° casilla de correo 5,PUERTO RICO,LIBERTADOR GRAL SAN MARTIN(MI),MISIONES,N3334,informes@yemico.com.ar,(03743) 421180,30-52970577-4,08/04/1932,AGROPECUARIA
304,COOP VITIVINICOLA LUIS A. HUERGO LTDA,M.MORENO N° 274,INGENIERO HUERGO,GENERAL ROCA (RN),RIO NEGRO,R8334,,,30-53214689-1,19/04/1932,AGROPECUARIA
311,COOP AGRICOLA ISLA VERDE LTDA,RIVADAVIA Y 25 DE MAYO,ISLA VERDE,MARCOS JUAREZ,CORDOBA,X2661,,96-005,30-52559710-1,23/05/1932,AGROPECUARIA
312,"COOP DE ELECTRICIDAD Y SERVICIOS,OBRAS PUBLICAS VIVIENDA Y CREDITO DE VILLA IRIS LTDA",ESPAÑA N° 295,VILLA IRIS,PUAN,BUENOS AIRES,B8126ALE,,(02925) 432-288/556,30-58243752-8,02/06/1932,SERVICIOS PUBLICOS
313,UNION AGRICOLA DE LEONES SOD. COOP LTDA.,AV. LIBERTADOR N° 649,LEONES,MARCOS JUAREZ,CORDOBA,X2594,,81508,30-52665570-9,30/06/1932,AGROPECUARIA
319,COOP AGRICOLA LTDA DE CASCALLARES,CASCALLARES MICAELA N° 7507,TRES ARROYOS,TRES ARROYOS,BUENOS AIRES,B7500,,(0983) 98033/34/35/51,30-52541876-2,20/07/1932,AGROPECUARIA
327,COOP AGRICOLA ELDORADO SOC. COOP LTDA.,EL FUNDADOR Y RIVADAVIA,ELDORADO,EL DORADO,MISIONES,N3380,,03751-431834/431836,30-50690839-2,25/07/1932,AGROPECUARIA
328,COOP AGROPECUARIA DE MACHAGAI LTDA,SUIPACHA N° 99,MACHAGAI,25 DE MAYO (CHA),CHACO,H3534,coopmachagai@hotmail.com,03734-470273/470013,30-50181577-9,25/07/1932,AGROPECUARIA
329,COOP AGRARIA LTDA DE OLAVARRIA,CERRITO N° 2403,OLAVARRIA,OLAVARRIA,BUENOS AIRES,B7400,coopagrariaolav@coopnet.com.ar,02284-441404/444133,33-52550362-9,09/08/1932,AGROPECUARIA
334,SOC. COOP DE ELECTRICIDAD Y ANEXOS DE BERABEVU LTDA,Sin datos calle,BERABEVU 1,CASEROS,SANTA FE,S2639,,,,13/09/1932,SERVICIOS PUBLICOS
342,FONDO COMUNAL COOP AGRICOLA LTDA,SAN MARTIN N° 271,VILLA DOMINGUEZ,VILLAGUAY,ENTRE RIOS,E3246,,0455-92069,30-52530575-5,27/09/1932,AGROPECUARIA
353,COOP AGRICOLA GENERAL PUEYRREDON LTDA,URQUIZA N° 2098,COMANDANTE NICANOR OTAMENDI,GENERAL ALVARADO,BUENOS AIRES,B7600,,72/3021,30-52657834-8,16/11/1932,AGROPECUARIA
360,AGRICULTORES FEDERADOS ARGENTINOS SOC. COOP LTDA,MITRE N° 1132,ROSARIO,ROSARIO,SANTA FE,S2000COX,aleb@afascl.com.ar afascl@afascl.com.ar,0341-4401243,30-52571862-6,10/12/1932,AGROPECUARIA
364,"COOP AGRICOLA UNION REGIONAL LTDA,AGROP.,DE CONS.,TRANSF.,COMERC.Y S.P.",LIBERTAD Y BELGRANO,GENERAL RAMIREZ,DIAMANTE,ENTRE RIOS,E3164,caur@infovia.com.ar,(0343)4901510/514,,30/12/1932,AGROPECUARIA
367,COOP AGRICOLA LTDA LA VICTORIA,AVDA. ARNALDO A. GIRADO S/N,SAN FRANCISCO DE BELLOCQ,TRES ARROYOS,BUENOS AIRES,B7505,,,30-54558845-1,05/01/1933,AGROPECUARIA
369,COOP DE CASEROS COOP INTEGRAL LTDA,AV. GENERAL URQUIZA N° 4750,CASEROS (BA),TRES DE FEBRERO,BUENOS AIRES,B1678,,,33-50001022-9,10/01/1933,CREDITO
389,"COOP VITIVINICOLA, INDUSTRIAS ANEXAS Y PRODUCCION CIPOLLETTI LTDA",C.C.  23 - TRES ARROYOS N° 643,CIPOLLETTI,GENERAL ROCA (RN),RIO NEGRO,R8324,,,33-52556629-9,09/05/1933,AGROPECUARIA
390,COOP AGRICOLA PRODUCTORES DEL DELTA LTDA,ARROYO LA TINTA,VILLA PARANACITO,ISLAS DEL IBICUY,ENTRE RIOS,E2823,,,30-52698381-1,11/05/1933,AGROPECUARIA
395,"COOP POPULAR DE ELECTRICIDAD, OBRAS Y SERVICIOS PUBLICOS DE SANTA ROSA LTDA",RAUL B. DIAZ N° 218,SANTA ROSA (LP),CAPITAL (LP),LA PAMPA,L6300,,,30-54571617-4,23/05/1933,SERVICIOS PUBLICOS
398,SOCIEDAD RURAL DE JUAREZ COOP LTDA,ALMIRANTE BROWM,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES,B7020,,2080,30-52636020-2,14/06/1933,AGROPECUARIA
400,"COOP DE CONSUMO, FORESTAL Y SERVICIOS PUBLICOS DEL DELTA LTDA",SARMIENTO N° 41,TIGRE,TIGRE,BUENOS AIRES,B1648,,749-0467,30-52840997-7,04/07/1933,CONSUMO - PROVISION
401,SOCIEDAD COOP POPULAR LTDA DE COMODORO RIVADAVIA,SAN MARTIN N° 1641,COMODORO RIVADAVIA,ESCALANTE,CHUBUT,U9000,,(0297) 447-2020/30,30-54572672-2,20/07/1933,SERVICIOS PUBLICOS
403,COOP DE TAMBEROS CATAMARCA LTDA,SANTA ROSA,SIN LOCALIDAD (02),SIN DEPARTAMENTO (02),CATAMARCA,K4707,cotali@arnet.com.ar,(03833) 442264,30-52760787-2,03/08/1933,AGROPECUARIA
404,COOP AGRICOLA LTDA LA UNION DE ALFONZO,9 DE JULIO Y MORENO,MARIANO H. ALFONZO,PERGAMINO,BUENOS AIRES,B2718,coopunion@wiscom.com.ar,(02477) 496088,30-50711923-5,14/08/1933,AGROPECUARIA
405,GRANEROS Y ELEVADORES ARGENTINOS DE COLON SOCIEDAD COOP LTDA,CALLE 46 Y 21 N° 1005 B° C.C. Nº46,COLON (BA),COLON (BA),BUENOS AIRES,B2720CHU,geadecolon@wiscom-net.com.ar,(02473) 430-447/8,30-58185694-2,23/08/1933,AGROPECUARIA
409,LA EMANCIPACION SOCIEDAD COOP MIXTA DE CONSUMO PROVISION TRANSFORMACION Y VENTA LTDA,25 DE MAYO Y DR. MAGADAN,DARREGUEIRA,PUAN,BUENOS AIRES,B8183,,02924-420569/420017,33-50322509-9,31/08/1933,CONSUMO - PROVISION
412,COOP AGRICOLA GANADERA DE FEDERAL LTDA,BELGRANO Y 25 DE MAYO S/N,FEDERAL,FEDERAL,ENTRE RIOS,E3180,,,30-52560660-7,20/09/1933,AGROPECUARIA
417,COOP AGRICOLA MIXTA LA PROTECTORA LTDA,JUAN O DWYER N° 327,GENERAL GALARZA,GUALEGUAY,ENTRE RIOS,E2843,laprotectora@camlaprotectora.com.ar,0344-481160,30-52640030-1,05/10/1933,AGROPECUARIA
420,UNION AGRICOLA DE VILLA OCAMPO COOP LTDA,FRAY LUIS BELTRAN N° 1380,VILLA OCAMPO,GENERAL OBLIGADO,SANTA FE,S3580,,66568,30-52789403-0,19/10/1933,AGROPECUARIA
422,COOP AGRICOLA VIÑATEROS UNIDOS LTDA,C.C. 62 - MARIANO MORENO N° 601,CIPOLLETTI,GENERAL ROCA (RN),RIO NEGRO,R8324,,,30-50383096-1,03/11/1933,AGROPECUARIA
426,EL HOGAR DE PARQUE PATRICIOS SOCIEDAD COOP INTEGRAL LTDA,FLORIDA N° 101,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1005,,,30-52583265-8,17/11/1933,CREDITO
427,COOP AGRICOLA GANADERA LTDA DE PUAN,ESPAÑA N° 221,PUAN,PUAN,BUENOS AIRES,B8180AKG,coopagric@s9.coopenet.com.ar,0000-498003,33-52634956-9,22/11/1933,AGROPECUARIA
430,COOP FRUTIVINICOLA VALLE FERTIL LTDA,AVDA. VITERBORI N° 245,GENERAL ROCA (15),GENERAL ROCA (RN),RIO NEGRO,R8332,,,30-52781454-1,24/11/1933,AGROPECUARIA
432,COOP VITIVINICOLA FUERTE GENERAL ROCA LTDA,AUSTRALIA C.C. 124 N° 1500,GENERAL ROCA (15),GENERAL ROCA (RN),RIO NEGRO,R8332,,,30-50154849-5,29/11/1933,AGROPECUARIA
433,COOP AGROPECUARIA DE CHARATA LTDA,MONSEÑOR DE CARLO N° 1000,CHARATA,CHACABUCO (CHA),CHACO,H3730,,0713-70116/055/011,30-51542931-6,29/11/1933,AGROPECUARIA
435,COOP DE PRODUCTORES LTDA DE RIO COLORADO,CNIA. JULIA Y ECHARREN - C.C. N° 65,RIO COLORADO,PICHI MAHUIDA,RIO NEGRO,R8138,,,30-53216371-0,30/11/1933,AGROPECUARIA
438,COOP AGRICOLA COLONIA CHOELE CHOEL LTDA,CLMTE. GUERRICO N° 290,LUIS BELTRAN,AVELLANEDA (RN),RIO NEGRO,R8361AZP,coopchoele@mymcom.com.ar,02946-480102/480297,30-52787612-1,22/12/1933,AGROPECUARIA
440,TRABAJADORES UNIDOS COOP MIXTA LTDA,AVDA. BELGRANO Y ESPAÑA,ANGUIL,CAPITAL (LP),LA PAMPA,L6326,coopanguil@cpenet.com.ar,02954-495058,30-52709481-6,28/12/1933,AGROPECUARIA
445,COOP DE CONSUMO DEL PERSONAL DE LA PROVINCIA DE SANTA FE LTDA,SAN LORENZO N° 1015,SANTA FE,LA CAPITAL (SF),SANTA FE,S2000,,258956,30-51680431-5,02/02/1934,CONSUMO
447,COOP LTDA DE SERVICIOS PUBLICOS Y SOCIALES DE PEREZ -COOPESER-,9 DE JULIO N° 1301,PEREZ,ROSARIO,SANTA FE,S2121,coopeser@coopeser.com.ar,(0341) 495-1616,30-59968221-6,07/02/1934,SERVICIOS PUBLICOS
458,"COOP DE PROV. DE SERV. ELECTRICOS, OBRAS Y OTROS SERV. PUBLICOS Y ASISTENCIALES LOS CONDORES LTDA",AVDA. DON BOSCO N° 335,LOS CONDORES,CALAMUCHITA,CORDOBA,X5823AJD,cooploscondores@dat13.com.ar,(03571) 493210/510,30-54570973-9,26/03/1934,SERVICIOS PUBLICOS
460,COOP ELECTRICA LTDA DE RUFINO,AVDA. COBO N° 349,RUFINO,GENERAL LOPEZ,SANTA FE,S6100,celr@coop54.com.ar,03382-428450/428653,30-54568921-5,04/04/1934,SERVICIOS PUBLICOS
461,COOP AGRARIA DE TRES ARROYOS LTDA,AVDA. SAN MARTIN N° 1050,TRES ARROYOS,TRES ARROYOS,BUENOS AIRES,B7500IKX,,02983-431340/427021,30-52611139-3,11/04/1934,AGROPECUARIA
462,COOP DE OBRAS Y SERVICIOS PUBLICOS LTDA DE RIO TERCERO,DEAN FUNES N° 15,RIO TERCERO,TERCERO ARRIBA,CORDOBA,X5850,cosprt@itc.com.ar,(03571) 411111,30-54569276-3,12/04/1934,SERVICIOS PUBLICOS
466,"USINA POPULAR COOP DE OBRAS, SERVICIOS PUBLICOS Y SOCIALES LTDA DE NECOCHEA ""SEBASTIAN DE MARIA""",AV. 59 E. PERON Y ESQ. 42,NECOCHEA,NECOCHEA,BUENOS AIRES,B7630,,02262-432653/432644,30-54569405-7,24/04/1934,SERVICIOS PUBLICOS
468,COOP CIUDAD Y CAMPO LTDA DE TRENQUE LAUQUEN,Sin datos calle,TRENQUE LAUQUEN,TRENQUE LAUQUEN,BUENOS AIRES,B6400,,,,03/05/1934,AGROPECUARIA
480,COOP DE ELECTRICIDAD LTDA DE MAIPU,JULIN LYNCH N° 671,MAIPU,MAIPU (BA),BUENOS AIRES,B7160,,,30-54569566-5,30/07/1934,SERVICIOS PUBLICOS
482,COOP LTDA DE TAMBEROS COLONIA PALACIOS,SAN MARTIN N° 77,MOISES VILLE,SAN CRISTOBAL,SANTA FE,S2313,,,30-50414723-8,07/08/1934,AGROPECUARIA
484,"COOP DE PROVISION DE SERVICIO ELECTRICO Y OTROS SERVICIOS PUBLICOS, DE PIGUE, LTDA",C.C. 70 - URQUIZA N° 99,PIGUE,SAAVEDRA,BUENOS AIRES,B8170AVA,celpigue@s8.coopenet.com.ar,02923-473133/473513,30-56753668-4,16/08/1934,SERVICIOS PUBLICOS
485,COOP DE CONSUMO Y CREDITO MERIDIANO V LTDA,CALLE 16 N° 1829,LA PLATA,LA PLATA,BUENOS AIRES,B1900,,,,18/08/1934,CONSUMO - CREDITO
487,PRODUCTORES DE YERBA MATE DE SANTO PIPO SOCIEDAD COOP LTDA,AV SAN MARTIN S/N,SANTO PIPO,SAN IGNACIO,MISIONES,N3326,pipore@arnet.com.ar,03752-490014/490056,30-50351066-5,04/09/1934,AGROPECUARIA
491,CALF COOP PROVINCIAL DE SERVICIOS PUBLICOS Y COMUNITARIOS DE NEUQUEN LTDA,GENERAL MITRE N° 609,NEUQUEN,CONFLUENCIA,NEUQUEN,Q8300,,(0299)4430401/409/817,30-54572139-9,04/10/1934,SERVICIOS PUBLICOS
492,COOP AGRICOLA FEDERAL DE ALEJANDRO LTDA,BELGRANO Y N. MARTIJENA,ALEJANDRO,JUAREZ CELMAN,CORDOBA,X2686,,,,05/10/1934,AGROPECUARIA
494,COOP DE PROVISION DE ELECTRICIDAD O. Y S. P. CRED. Y VIV. LTDA DE SAN ANTONIO DE ARECO,MORENO N° 417,SAN ANTONIO DE ARECO,SAN ANTONIO DE ARECO,BUENOS AIRES,B2760BWI,ceosp@ceops.com.ar,02326-452457,30-54569948-2,17/10/1934,SERVICIOS PUBLICOS
